Heirarchy Group,Order Within Group,Name,Level,Rack,PV Prefix,PV Suffix,OK If Equal To,Faulted If Equal To,Three Letter Code,Severity,Short description for display help
,4,Parked,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,,,,PKD,4,Cavity is tuned off frequency so it doesn’t affect the beam.
0,1,Any of the PVs needed by the display are offline,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,,,,INV,3,Invalid: one of the PVs necessary is not responding to caget or has INVALID status
1,1,Awaiting Run Up: Station needs attention from LLRF/SRF groups before can be used. A status set and cleared by experts. ,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,,,,ARU,2,Awaiting Run Up: Cavity is ready to be commissioned by experts but not ready to be used to accelerate beam
1,2,Maintenance (Station is known to be bad and awaiting attention from experts),CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,,,,MNT,2,Maintenance: Cavity is known to be bad and needs attention from experts
1,3,Hardware Initialization (a.k.a. rack checkout) needs to be run,RACK,,ACCL:{LINAC}:{CRYOMODULE}00,,,,HWI,2,Hardware Initialization needs to be run. Don't trust current values.
2,1,Check phase: if something is done to the system that makes 0 phase no longer knowable and ops need to re-gold. A status set and cleared by experts,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,,,,CKP,2,Check Phase: Cavity phase is in an indeterminate state and needs to be measured with the beam before being usable
3,0,NIRP or other individual SSA interlocks like PPS,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,,,,,2,
3,1,SSA Permit,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,SSA_LTCH,0,,SSP,2,SSA permit to turn on faulted
3,2,SSA Faulted,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,SSA:AlarmSummary.SEVR,,3,SSA,2,SSA not on
3,2,SSA Faulted,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,SSA:AlarmSummary.SEVR,,2,SSA,2,SSA not on
3,3,LLRF has shifted the frequency,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,FREQ_OFFSET.SEVR,0,,FRO,2,LLRF Frequency is offset from nominal - look at PV severity
3,4,"He Level, and He Pressure are summed into the Cryo Summary Interlock in the Resonance/Interlock Chassis",RACK,A,ACCL:{LINAC}:{CRYOMODULE}00,CRYOSUMA_LTCH,0,,CSI,2,"CM Cryo Summary (He pressure, He Level, and CP Ready) faulted"
3,4,"He Level, and He Pressure are summed into the Cryo Summary Interlock in the Resonance/Interlock Chassis",RACK,B,ACCL:{LINAC}:{CRYOMODULE}00,CRYOSUMB_LTCH,0,,CSI,2,"CM Cryo Summary (He pressure, He Level, and CP Ready) faulted"
4,1,Resonance/Interlock Link (cryo summary and items 4-8 summed here),CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,RESLINK_LTCH,0,,RES,2,"Resonance/ Interlock Summary (Cryo Summary, beamline vacuum, coupler vacuum, coupler temps, and stepper temps) faulted"
4,2,FPGA PLL Lock,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,PLL_FLT,0,,FPG,2,
4,3,EPICS IOC Watchdog,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,IOCWDOG_LTCH,0,,IOC,2,
4,4,Beamline Vacuum,RACK,A,ACCL:{LINAC}:{CRYOMODULE}00,BMLNVACA_LTCH,0,,BLV,2,Beamline Vacuum too high
4,4,Beamline Vacuum,RACK,B,ACCL:{LINAC}:{CRYOMODULE}00,BMLNVACB_LTCH,0,,BLV,2,Beamline Vacuum too high
4,5,Coupler Vacuum ,RACK,A,ACCL:{LINAC}:{CRYOMODULE}00,CPLRVACA_LTCH,0,,CPV,2,Coupler manifold vacuum too high
4,5,Coupler Vacuum ,RACK,B,ACCL:{LINAC}:{CRYOMODULE}00,CPLRVACB_LTCH,0,,CPV,2,Coupler manifold vacuum too high
4,6,Coupler Temperature 1,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,CPLRTEMP1_LTCH,0,,CP1,2,Temperature sensor on the top of the coupler indicates high temp.
4,7,Coupler Temperature 2,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,CPLRTEMP2_LTCH,0,,CP2,2,Temperature sensor on the bottom of the coupler indicates high temp.
4,8,Stepper Temperature,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,STEPTEMP_LTCH,0,,STT,2,Temperature sensor on cavity tuner stepper motor out of tolerance.
4,9,Quench,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,QUENCH_LTCH,0,,QCH,2,LLRF system detected a cavity quench
4,10,Interlock Summary Fault,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,RFPERMIT,1,,,2,Latched cavity interlock summary fault
4,11,Hardware summary status for piezo ,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,,,,PZT,2,
4,12,Hardware summary status for stepper,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,,,,STP,1,
5,1,Cavity Characterization needs to be run ,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,,,,CVC,2,"Due to changes in the LLRF system, the cavity characterization needs to be run."
5,2,Cavity Calibration required,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,CAV:CALSUM,0,,CAL,2,Cavity Calibration needed before use
5,3,RF (not) Ready for Beam,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,RFREADYFORBEAM,1,,RFR,2,RF not ready for beam: mode is not SELAP and/or RF is off
6,1,Piezo feedback not on,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,PZT:MODECTRL,1,,PZF,2,Piezo Feedback is not on
6,2,Piezo feedback indicating problem,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,,,,PZO,2,Piezo Feedback is indicating a problem
7,1,Amplitude feedback of measured gradient is too low,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,AMPFB_SUM,0,,AFB,2,The feedback maintaining the amplitude is unable to keep the amplitude within tolerance. (Must be checked after RFREADYFORBEAM)
7,2,Phase feedback shows phase out of tolerance,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,PHAFB_SUM,0,,PFB,2,The feedback maintaining the phase is unable to keep the phase within tolerance. (Must be checked after RFREADYFORBEAM)
7,3,Summary of the feedback errors,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,FB_SUM,0,,FBS (FBS?),2,The feedback is unable to keep either phase or amplitude within tolerance. (Must be checked after RFREADYFORBEAM)
8,1,Amplitude Jitter,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,,,,AMJ,1,(maybe not needed)
8,2,Phase Jitter ,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,,,,PHJ,1,(maybe not needed)
8,3,"Any statuses from the cryo instrumentation list for specific cavities (vs CM as a whole)? Heater, HOM coupler clamp temps, including Helium level and pressure",CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,,,,CCR,1 or 2,"If these turn yellow, put some warning up on the display"
8,4,"Any analog instrumentation that feeds an interlock if it turns yellow, show it, including Helium level and pressure",CM,,ACCL:{LINAC}:{CRYOMODULE}00,,,,,,
