Heirarchy Group,Order Within Group,Name,Level,Rack,PV Prefix,PV Suffix,OK If Equal To,Faulted If Equal To,Three Letter Code,Severity,Short description for display help,Comments
0,0,Parked,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,PARK,,1,PKD,4,Cavity is tuned off frequency so it doesn’t affect the beam.,
0,1,Any of the PVs needed by the display are offline,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,,,,INV,3,Invalid: one of the PVs necessary is not responding to caget or has INVALID status,
1,1,Awaiting Run Up: Station needs attention from LLRF/SRF groups before can be used. A status set and cleared by experts. ,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,,,,ARU,2,Awaiting Run Up: Cavity is ready to be commissioned by experts but not ready to be used to accelerate beam,
1,2,Maintenance (Station is known to be bad and awaiting attention from experts),CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,,,,MNT,2,Maintenance: Cavity is known to be bad and needs attention from experts,Need Sonya to make these PVs then someone can make a display with these expert stati on it.
1,3,Hardware Initialization (a.k.a. rack checkout) needs to be run,RACK,A,ACCL:{LINAC}:{CRYOMODULE}00:RACK{RACK},HWINITSUM,,2,HWI,2,Hardware Initialization needs to be run or other LLRF chassis problem. Don't trust current values.,
1,3,Hardware Initialization (a.k.a. rack checkout) needs to be run,RACK,B,ACCL:{LINAC}:{CRYOMODULE}00:RACK{RACK},HWINITSUM,,2,HWI,2,Hardware Initialization needs to be run or other LLRF chassis problem. Don't trust current values.,
1,4,Hardware Initialization (a.k.a. rack checkout) is currently running,RACK,A,ACCL:{LINAC}:{CRYOMODULE}00:RACK{RACK},HWINITSUM,,1,HWI,1,Hardware Initialization currently running. Don't try to use system until this is complete,
1,4,Hardware Initialization (a.k.a. rack checkout) is currently running,RACK,B,ACCL:{LINAC}:{CRYOMODULE}00:RACK{RACK},HWINITSUM,,1,HWI,1,Hardware Initialization currently running. Don't try to use system until this is complete,
2,1,Check phase: if something is done to the system that makes 0 phase no longer knowable and ops need to re-gold. A status set and cleared by experts ,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,,,,CKP,2,Check Phase: Cavity phase is in an indeterminate state and needs to be measured with the beam before being usable,"Ask Sonya if such a thing exists and if so, what is it and if not, maybe make one and add to the expert stati display."
3,0,NIRP or other individual SSA interlocks like PPS,CAV,,ACCL:{LINAC}:{CRYOMODULE}{CAVITY}0,,,,,,,12/7/21 The group decided to not have this line
